LHR Services,0005-0299(Long Haul),0300-0999(Short Haul),1000-1299(Other),1301-1499(Domestic),8580-8699(Other)
""
LGW Services,2000-2899,8000-8399(Short Haul),8800-8899,,
""
LYC Services,3200-3299,7000-7399,8400-8499,8700-8799,
""
SOU Services,2900-2999,,,,
""
Comair,6200-6499,,,,
""
Special Services,3300-3999,9000-9999,,,
""
Code Shares,1611-1699,4000-4399,4600-6199,,
LHR Long Haul Services
Country,City,Flight,Route,Call Signs
Japan,Tokyo,BA0005,LHR->HND,BAW5
,,BA0006,HND->LHR,BAW6
,,BA0007,LHR->HND,BAW7
,,BA0008,HND->LHR,BAW8
Denmark,Billund,BA0009,BLL->LCY,SUS9
,,BA0010,LCY->,SUS10
Singapore,Singapore,BA0011,LHR->SIN,BAW11
,,BA0012,SIN->LHR,BAW12
,,BA0015,LHR->SIN,BAW15
,,BA0016,SIN->LHR,"BAW16D, BAW16"
United Kingdom,Inverness,BA0017,INV->LHR,SHT17X
Hong Kong,Hong Kong,BA0027,LHR->HKG,BAW27
,,BA0028,HKG->LHR,BAW28
,,BA0031,LHR->HKG,BAW31
,,BA0032,HKG->LHR,BAW32
Sweden,Gothenborg,BA0033,GOT->CBG,SUS33
United Kingdom,Cambridge,BA0034,CBG->GOT,SUS34
India,Madras,BA0035,LHR->MAA,BAW35
,,BA0036,MAA->LHR,BAW36
,,BA0037,->CBG,SUS37
China,Beijing,BA0038,PKX->LHR,BAW38
,,BA0039,LHR->PKX,BAW39
South Africa,Cape Town,BA0042,CPT->LHR,"BAW42, BAW58L"
,,BA0043,LHR->CPT,BAW43
United States,Seattle,BA0048,SEA->LHR,"BAW48Q, BAW48"
,,BA0049,LHR->SEA,BAW49
,,BA0052,SEA->LHR,BAW4EA
,,BA0053,LHR->SEA,"BAW5EA, BAW53"
South Africa,Johannesburg,BA0054,JNB->LHR,BAW54
,,BA0055,LHR->JNB,"BAW55G, BAW55"
,,BA0056,JNB->LHR,BAW56
,,BA0057,LHR->JNB,"BAW57K, BAW57"
,Cape Town,BA0058,CPT->LHR,"BAW58L, BAW58"
,,BA0059,LHR->CPT,BAW59
Maldives,Male,BA0060,MLE->LHR,BAW60
,,BA0061,LHR->MLE,BAW61
Kenya,Nairobi,BA0064,NBO->LHR,"BAW64M, BAW64"
,,BA0065,LHR->NBO,BAW65
United States,Philadelphia,BA0066,PHL->LHR,BAW9NF
,,BA0067,LHR->PHL,"BAW6RB, BAW67"
Nigeria,Lagos,BA0074,LOS->LHR,BAW74
,,BA0075,LHR->LOS,BAW75
Ghana,Accra,BA0078,ACC->LHR,BAW78
,,BA0081,LHR->ACC,BAW81
Nigeria,Abuja,BA0082,ABV->LHR,BAW82
,,BA0083,LHR->ABV,BAW83
Canada,Vancouver,BA0084,YVR->LHR,"BAW84, BAW88C"
,,BA0085,LHR->YVR,"BAW5VY, BAW85"
,Toronto,BA0092,YYZ->LHR,"BAW5CA, BAW92"
,,BA0093,LHR->YYZ,"BAW9L, BAW93"
,Montreal,BA0094,YUL->LHR,"BAW9EW, BAW94"
,,BA0095,LHR->YUL,"BAW6NC, BAW95"
Spain,Alicante,BA0096,ALC->LGW,EFW96T
Canada,Toronto,BA0098,YYZ->LHR,BAW98
,,BA0099,LHR->YYZ,BAW99
United Arab Emirates,Dubai,BA0104,DXB->LHR,BAW104
,,BA0105,LHR->DXB,BAW105
,,BA0106,DXB->LHR,BAW106
,,BA0107,LHR->DXB,"BAW107, BAW8K"
,,BA0108,DXB->LHR,BAW108
,,BA0109,LHR->DXB,BAW109
United States,New York,BA0112,JFK->LHR,"BAW40F, BAW112"
,,BA0113,LHR->JFK,BAW33K
,,BA0114,JFK->LHR,"BAW14K, BAW114"
,,BA0115,LHR->JFK,"BAW15K, BAW115"
,,BA0116,JFK->LHR,BAW116
,,BA0117,LHR->JFK,"BAW17R, BAW117"
India,Bangalore,BA0118,BLR->LHR,BAW118
,,BA0119,LHR->BLR,BAW119
United States,Cincinnati,BA0120,CVG->LHR,BAW120
,,BA0121,LHR->CVG,"BAW21V, BAW121"
Qatar,Doha,BA0122,DOH->LHR,BAW122
